Task,Due Date,Estimated Duration,Priority,Description
Task 1,2024-10-26 12:30:54.780088,6,High,Review document
Task 2,2024-11-05 12:30:54.780088,2,High,Urgent meeting
Task 3,2024-10-24 12:30:54.780088,2,Medium,Review document
Task 4,2024-11-14 12:30:54.780088,7,Low,Team brainstorming
Task 5,2024-11-13 12:30:54.780088,6,High,Client call
Task 6,2024-10-18 12:30:54.780088,7,Low,Client call
Task 7,2024-11-15 12:30:54.780088,3,High,Client call
Task 8,2024-11-14 12:30:54.780088,4,High,Review document
Task 9,2024-11-08 12:30:54.780088,2,High,Urgent meeting
Task 10,2024-10-31 12:30:54.780088,3,High,Client call
Task 11,2024-11-03 12:30:54.780088,1,High,Team brainstorming
Task 12,2024-10-30 12:30:54.780088,1,Medium,Team brainstorming
Task 13,2024-11-15 12:30:54.780088,6,Low,Review document
Task 14,2024-11-06 12:30:54.780088,3,Medium,Client call
Task 15,2024-11-08 12:30:54.780088,1,High,Urgent meeting
Task 16,2024-10-25 12:30:54.780088,1,Medium,Team brainstorming
Task 17,2024-11-01 12:30:54.780088,1,Medium,Review document
Task 18,2024-11-13 12:30:54.780088,4,Medium,Review document
Task 19,2024-10-23 12:30:54.780088,6,Medium,Client call
Task 20,2024-11-12 12:30:54.780088,2,High,Team brainstorming
Task 21,2024-11-02 12:30:54.780088,4,Medium,Team brainstorming
Task 22,2024-10-31 12:30:54.780088,6,Low,Team brainstorming
Task 23,2024-10-26 12:30:54.780088,1,High,Prepare presentation
Task 24,2024-10-23 12:30:54.780088,1,Medium,Prepare presentation
Task 25,2024-10-28 12:30:54.780088,7,Medium,Review document
Task 26,2024-10-18 12:30:54.780088,4,Medium,Urgent meeting
Task 27,2024-11-10 12:30:54.780088,7,Low,Team brainstorming
Task 28,2024-10-25 12:30:54.780088,7,Medium,Review document
Task 29,2024-10-23 12:30:54.780088,4,High,Team brainstorming
Task 30,2024-11-01 12:30:54.780088,3,Low,Prepare presentation
Task 31,2024-11-12 12:30:54.780088,3,Low,Team brainstorming
Task 32,2024-11-13 12:30:54.780088,3,Medium,Team brainstorming
Task 33,2024-11-06 12:30:54.780088,6,Medium,Prepare presentation
Task 34,2024-10-24 12:30:54.780088,3,High,Prepare presentation
Task 35,2024-10-23 12:30:54.780088,1,Low,Urgent meeting
Task 36,2024-11-09 12:30:54.780088,7,Low,Review document
Task 37,2024-10-21 12:30:54.780088,7,High,Team brainstorming
Task 38,2024-10-30 12:30:54.780088,3,Medium,Urgent meeting
Task 39,2024-10-19 12:30:54.780088,3,Low,Prepare presentation
Task 40,2024-10-21 12:30:54.780088,2,Low,Team brainstorming
Task 41,2024-10-24 12:30:54.780088,3,Medium,Team brainstorming
Task 42,2024-10-28 12:30:54.780088,6,High,Team brainstorming
Task 43,2024-10-27 12:30:54.780088,3,Medium,Client call
Task 44,2024-11-05 12:30:54.780088,1,Low,Prepare presentation
Task 45,2024-10-30 12:30:54.780088,3,High,Prepare presentation
Task 46,2024-10-25 12:30:54.780088,4,Medium,Team brainstorming
Task 47,2024-10-27 12:30:54.780088,4,Low,Review document
Task 48,2024-11-02 12:30:54.780088,6,Low,Prepare presentation
Task 49,2024-10-20 12:30:54.780088,5,Low,Review document
Task 50,2024-10-21 12:30:54.780088,1,Low,Client call
Task 51,2024-11-10 12:30:54.780088,5,High,Review document
Task 52,2024-11-01 12:30:54.780088,1,Medium,Client call
Task 53,2024-10-22 12:30:54.780088,7,Medium,Review document
Task 54,2024-11-02 12:30:54.780088,2,Medium,Team brainstorming
Task 55,2024-11-08 12:30:54.780088,3,High,Prepare presentation
Task 56,2024-10-21 12:30:54.780088,6,Medium,Urgent meeting
Task 57,2024-11-15 12:30:54.780088,7,Medium,Review document
Task 58,2024-10-28 12:30:54.780088,1,High,Prepare presentation
Task 59,2024-11-07 12:30:54.780088,4,High,Review document
Task 60,2024-10-27 12:30:54.780088,6,High,Review document
Task 61,2024-11-14 12:30:54.780088,3,Medium,Review document
Task 62,2024-10-27 12:30:54.780088,7,High,Team brainstorming
Task 63,2024-11-08 12:30:54.780088,7,High,Urgent meeting
Task 64,2024-10-22 12:30:54.780088,7,High,Team brainstorming
Task 65,2024-10-24 12:30:54.780088,1,Low,Client call
Task 66,2024-10-18 12:30:54.780088,5,High,Urgent meeting
Task 67,2024-10-24 12:30:54.780088,4,High,Prepare presentation
Task 68,2024-11-12 12:30:54.780088,6,Low,Team brainstorming
Task 69,2024-11-01 12:30:54.780088,7,Low,Prepare presentation
Task 70,2024-11-07 12:30:54.780088,6,High,Prepare presentation
Task 71,2024-11-06 12:30:54.780088,4,High,Review document
Task 72,2024-10-29 12:30:54.780088,5,Medium,Client call
Task 73,2024-10-30 12:30:54.780088,3,High,Team brainstorming
Task 74,2024-11-08 12:30:54.780088,2,Low,Client call
Task 75,2024-10-23 12:30:54.780088,5,High,Prepare presentation
Task 76,2024-10-31 12:30:54.780088,2,Medium,Prepare presentation
